"타임스탬프","1. 성별을 말씀해주세요.","2. 한국해양과학기술원 웹사이트에 방문하신 적이 있으십니까?","3. 홈페이지에서 원하는 정보를 상단메뉴에서 정확하게 찾을 수 있다고 생각하십니까?","4. 홈페이지 접속 속도에 대하여 만족하십니까?","5. 홈페이지의 전반적인 디자인에 대해 만족하십니까?","6. 홈페이지의 내용이 다양하고 흥미를 유발한다고 생각하십니까?","7. 홈페이지의 정보가 최신화 되어있다고 생각하십니까?","8. 한국해양과학기술원의 SNS 중 가장 접근하기 편한 것은 무엇입니까?","9. 한국해양과학기술원 홈페이지 제공 서비스 중 가장 만족한 서비스는 무엇입니까?","10. 홈페이지에서 개선되었으면 좋겠다고 생각하시는 부분은 무엇입니까?"
"2021/03/09 4:54:39 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많고 흥미롭다","정보는 계속 업로드 되나, 관리가 안되고 있다","페이스북","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","Q&A게시판 등 소통할수 있는 콘텐츠가 있었으면 좋겠다."
"2021/03/09 4:55:13 오후 GMT+9","여성","아니요","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많지만 흥미유발을 하지 않는다.","정보는 계속 업로드 되나, 관리가 안되고 있다","인스타그램","상단의 검색창으로 검색 서비스를 이용할 수 있어 편리하다.","메뉴가 단순화되었으면 좋겠다."
"2021/03/09 4:56:09 오후 GMT+9","남성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많지만 흥미유발을 하지 않는다.","정보는 계속 업로드 되나, 관리가 안되고 있다","네이버-밴드","상단의 검색창으로 검색 서비스를 이용할 수 있어 편리하다.","메뉴가 단순화되었으면 좋겠다."
"2021/03/09 4:57:05 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","깔끔하고 보기좋다.","정보가 많지만 흥미유발을 하지 않는다.","정보는 계속 업로드 되나, 관리가 안되고 있다","유튜브","관련 사이트가 정리가 잘 되어있어 찾기쉽다.","Q&A게시판 등 소통할수 있는 콘텐츠가 있었으면 좋겠다."
"2021/03/09 5:08:20 오후 GMT+9","남성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","매우 신속하게 로딩된다.","동작이 너무 많아서 어지럽다.","정보가 많지만 흥미유발을 하지 않는다.","정보는 계속 업로드 되나, 관리가 안되고 있다","인스타그램","상단의 검색창으로 검색 서비스를 이용할 수 있어 편리하다.","사진, 동영상 등의 콘텐츠가 더 많았으면 좋겠다."
"2021/03/09 5:12:48 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","깔끔하고 보기좋다.","정보가 많고 흥미롭다","정보업로드가 빠르며, 관리가 잘 되고있다","유튜브","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","사진, 동영상 등의 콘텐츠가 더 많았으면 좋겠다."
"2021/03/09 5:17:04 오후 GMT+9","여성","네","조금 찾아야 되지만 그래도 찾기 쉬운 편이다.","그냥그렇다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많지만 흥미유발을 하지 않는다.","정보업로드가 빠르며, 관리가 잘 되고있다","인스타그램","관련 사이트가 정리가 잘 되어있어 찾기쉽다.","Q&A게시판 등 소통할수 있는 콘텐츠가 있었으면 좋겠다."
"2021/03/09 5:27:45 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","깔끔하고 보기좋다.","정보가 많고 흥미롭다","정보업로드가 빠르며, 관리가 잘 되고있다","유튜브","관련 사이트가 정리가 잘 되어있어 찾기쉽다.","Q&A게시판 등 소통할수 있는 콘텐츠가 있었으면 좋겠다."
"2021/03/09 5:33:34 오후 GMT+9","남성","네","조금 찾아야 되지만 그래도 찾기 쉬운 편이다.","그냥그렇다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많고 흥미롭다","정보업로드가 빠르며, 관리가 잘 되고있다","인스타그램","상단의 검색창으로 검색 서비스를 이용할 수 있어 편리하다.","메뉴가 단순화되었으면 좋겠다."
"2021/03/09 5:33:55 오후 GMT+9","여성","네","조금 찾아야 되지만 그래도 찾기 쉬운 편이다.","매우 신속하게 로딩된다.","깔끔하고 보기좋다.","알수있는 정보가 없다.","알수있는 정보가 아예 없다.","페이스북","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","사진, 동영상 등의 콘텐츠가 더 많았으면 좋겠다."
"2021/03/09 5:35:22 오후 GMT+9","여성","아니요","메뉴가 잘 구분되어있어, 찾기 쉽다.","매우 신속하게 로딩된다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많고 흥미롭다","정보업로드가 빠르며, 관리가 잘 되고있다","유튜브","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","Q&A게시판 등 소통할수 있는 콘텐츠가 있었으면 좋겠다."
"2021/03/09 5:35:45 오후 GMT+9","여성","아니요","메뉴가 잘 구분되어있어, 찾기 쉽다.","매우 신속하게 로딩된다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많지만 흥미유발을 하지 않는다.","정보업로드가 빠르며, 관리가 잘 되고있다","인스타그램","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","디자인이 개선되었으면 좋겠다."
"2021/03/09 5:38:09 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","매우 신속하게 로딩된다.","깔끔하고 보기좋다.","정보가 많고 흥미롭다","정보업로드가 빠르며, 관리가 잘 되고있다","인스타그램","관련 사이트가 정리가 잘 되어있어 찾기쉽다.","메뉴가 단순화되었으면 좋겠다."
"2021/03/09 5:41:37 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","그냥그렇다.","메인화면은 좋으나, 상세 내용들은 복잡하게 디자인되어있다.","정보가 많지만 흥미유발을 하지 않는다.","정보업로드가 빠르며, 관리가 잘 되고있다","유튜브","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","메뉴가 단순화되었으면 좋겠다."
"2021/03/09 5:48:01 오후 GMT+9","여성","네","메뉴가 잘 구분되어있어, 찾기 쉽다.","매우 신속하게 로딩된다.","깔끔하고 보기좋다.","정보가 많고 흥미롭다","정보업로드가 빠르며, 관리가 잘 되고있다","인스타그램","보도자료와 공지사항 등 게시글이 잘 정렬되어 보기 편하다.","Q&A게시판 등 소통할수 있는 콘텐츠가 있었으면 좋겠다."